CHANNEL,LOKASI,TANGGAL,BULAN,TAHUN,KODE_BARANG,KLASIFIKASI_BARANG,WARNA_BARANG,UKURAN_BARANG,BERAT_SATUAN,JUMLAH,BERAT_TOTAL
002,LO000038,03/07/2023 00:00:00,03,2023,MP000197,KD000028,PL000036,SZ000009,2,2,4
002,LO000024,01/04/2023 00:00:00,01,2023,MP002277,KD000009,PL000037,SZ000007,2,29,59
002,LO000024,01/04/2023 00:00:00,01,2023,MP002277,KD000009,PL000037,SZ000007,4,29,116
002,LO000024,01/09/2023 00:00:00,01,2023,MP002175,KD000016,PL000036,SZ000007,9,1,18
002,LO000024,01/10/2023 00:00:00,01,2023,MP002175,KD000005,PL000036,SZ000007,10,2,20
002,LO000024,01/10/2023 00:00:00,01,2023,MP002175,KD000005,PL000036,SZ000007,8,3,24
002,LO000025,02/15/2023 00:00:00,02,2023,MP000197,KD000016,PL000037,SZ000012,5,3,15
002,LO000025,02/15/2023 00:00:00,02,2023,MP000197,KD000037,PL000039,SZ000012,15,2,30
002,LO000025,02/16/2023 00:00:00,02,2023,MP002277,KD000009,PL000037,SZ000004,5,8,40
002,LO000025,02/16/2023 00:00:00,02,2023,MP002277,KD000009,PL000037,SZ000004,4,8,33
002,LO000025,02/16/2023 00:00:00,02,2023,MP000294,KD000016,PL000037,SZ000011,7,2,14
002,LO000025,02/20/2023 00:00:00,02,2023,MP002277,KD000028,PL000036,SZ000009,1,21,22
002,LO000025,02/21/2023 00:00:00,02,2023,MP002175,KD000016,PL000036,SZ000013,15,3,45
002,LO000025,02/21/2023 00:00:00,02,2023,MP000284,KD000016,PL000037,SZ000013,7,3,21
002,LO000025,02/21/2023 00:00:00,02,2023,MP000284,KD000016,PL000037,SZ000013,6,4,24
002,LO000025,02/21/2023 00:00:00,02,2023,MP000284,KD000016,PL000037,SZ000013,8,2,16
002,LO000025,02/21/2023 00:00:00,02,2023,MP000284,KD000016,PL000037,SZ000013,10,5,50
002,LO000025,02/21/2023 00:00:00,02,2023,MP002277,KD000009,PL000037,SZ000009,2,2,3
002,LO000025,02/22/2023 00:00:00,02,2023,MP002277,KD000009,PL000037,SZ000012,2,3,6
002,LO000025,02/22/2023 00:00:00,02,2023,MP000294,KD000016,PL000037,SZ000013,6,2,12
002,LO000025,02/22/2023 00:00:00,02,2023,MP000197,KD000016,PL000037,SZ000013,4,2,12
002,LO000025,02/22/2023 00:00:00,02,2023,MP000294,KD000016,PL000037,SZ000012,2,3,6
002,LO000025,02/22/2023 00:00:00,02,2023,MP000294,KD000016,PL000037,SZ000012,3,3,9
002,LO000025,02/22/2023 00:00:00,02,2023,MP000197,KD000016,PL000037,SZ000012,3,2,9
002,LO000025,02/22/2023 00:00:00,02,2023,MP002175,KD000016,PL000036,SZ000007,4,1,4
002,LO000025,02/22/2023 00:00:00,02,2023,MP002175,KD000016,PL000036,SZ000007,5,1,5
002,LO000025,02/22/2023 00:00:00,02,2023,MP002277,KD000009,PL000037,SZ000004,3,2,6
002,LO000025,02/22/2023 00:00:00,02,2023,MP002277,KD000009,PL000037,SZ000007,4,2,8
002,LO000025,02/22/2023 00:00:00,02,2023,MP000294,KD000016,PL000037,SZ000012,8,1,8
002,LO000026,03/10/2023 00:00:00,03,2023,MP002277,KD000009,PL000039,SZ000012,1,4,4
002,LO000026,03/12/2023 00:00:00,03,2023,MP000294,KD000037,PL000036,SZ000009,2,10,21
002,LO000026,03/12/2023 00:00:00,03,2023,MP000284,KD000037,PL000036,SZ000009,2,3,6
002,LO000025,01/09/2023 00:00:00,01,2023,MP000197,KD000016,PL000037,SZ000009,3,4,15
002,LO000025,01/09/2023 00:00:00,01,2023,MP000197,KD000009,PL000037,SZ000012,4,5,20
002,LO000025,01/09/2023 00:00:00,01,2023,MP000197,KD000009,PL000037,SZ000012,4,10,40
002,LO000025,01/09/2023 00:00:00,01,2023,MP000197,KD000009,PL000037,SZ000012,5,4,25
002,LO000025,01/09/2023 00:00:00,01,2023,MP000197,KD000009,PL000037,SZ000012,5,4,25
002,LO000025,01/09/2023 00:00:00,01,2023,MP000197,KD000009,PL000037,SZ000012,3,3,9
002,LO000025,01/09/2023 00:00:00,01,2023,MP000197,KD000009,PL000037,SZ000012,3,12,37
002,LO000025,01/09/2023 00:00:00,01,2023,MP000197,KD000009,PL000037,SZ000012,2,3,8
